text,tags,
"working at walmart is challenging when things are normal.  but now with covid19, things are out of control.  we are forced to wear masks while we work, which makes our jobs ten time harder than before. it's rediculous and almost unbearable!  manager and customers alike have zero empathy for us.",work,
the front end like gossip,work,
how the customers are so mean and rude because we don’t have what they are looking for,work,
my family makes me feel upset,family,
currently for a few weeks the customer's get everything we have while we help them got it then my family has no tp no hamburger etc. an i'm sorry but how come the people that provide losses out justify that please sorry but thank's,work,
i have dept manager giving me a hard time ,work,
my stress makes me feel.   tied.  all.  the.  jobs.   at.   work.   and.   dealing.  with.    managers.   at.   walmart,work,
stress at home taking time off work to care for my husband  who just had back surgery. ,medical,
i'm 57 and had head concussions at six and 15 and have had to contend with depression and wait gan for the last forty years and am about 70 lbs over wait and feel bad   my wait is on my mind 24 hours a day and has me feeling bad i'm reminded avery day and pray that some day it's going to change,medical,
i don't know,emotional,
finding a reasonable apartment,money,
i am thinking about starting a family. how do i know if i am ready?,family,
i work at store 3702 my name is tinamarie pedi i'm a cashier there already 3 years now i have been out of work on a short term disability since the middle of may i waiting to get surgery i can't see my doctor until august they ended my disability on june 30. i'm still needing help with my disability,work,
keeping my emotions calm and  staying focused positive 🙏,emotional,
my work makes me feel extremely overwhelmed,work,
not having enough money to get through the month,money,
my stress makes me feel aanangangrangryangry and sad,emotional,
"mast,a supervisors that thank there last name is walmart",work,
paying down charge cards,money,
work makes me feel,work,
not feeling good and going to work,work,
trying to pay all bills and get car repairs,money,
i lost the lady selling the outside chair with the sunflower on the seat from inglside,emotional,
how is walmart planning to protect thier pharmacy staff?,work,
exhausted,emotional,
save money,money,
my work makes me feel sstrestress,work,
"my struggle is finding affordable place to live, i live in a two bedroom apartment with 13 other people, there's no privacy or no space you can call your own",money,
health,medical,
life makes me feel ___angry _sad depressed,emotional,
i like to win some money,money,
being forced to wear masks at work or be sent home.,work,
"still stuck in marriage, name ruined, lack of energy or mentally exhausted.  need to stop doubting, and start rebuilding confidence, will be homeless soon.",money,
walmart  associates,work,
i'm in a nursing home we are in our rooms24/7 because of the virus. i read my bible and pray by i need something else to do i have no one to talk to,emotional,
i have little food in my apartment and i am stock victim,money,
family makes me feel stress,family,
my relationship makes me feel smothered,emotional,
i am trying to get unemployment and walmart is stating that they terminated me which is not the case. i left to take another job. i wad not able to give notice as the hr person was never in her office.,work,
my relationship makes me feel useless,emotional,
how can live on 24  hrs a week,money,
my stress makes me feel tierd. in have neck discomfort,emotional,
"i have worked at walmart for over 20 years, i recently left my almost 25 year marriage, and because of the virus i had to go on a leave from the waterloo store, i have beenwaiting on a letter/ or call for a mr campbell to give me a transfer and allow me to return to a closer walmart",work,
so tired so so tired and not feeling good,emotional,
i'm feeling like the weight of my job is going to crush me i feel alone i hate going to work any more,work,
i feel like i'm a failure at work. i keep making mistakes lately and i dont understand why.,work,
life makes me feel stressed out,emotional,
i never can do enough my dept manager,work,
my family makes me feel being used,family,
feeling hopeless,emotional,
i dont know what to do..i have asthma an  bad lungs from having pneumonia  in past..i have cough an runny nose..no fever cause i am on cyparo for uti...do i go for loa or just call in an loose job cause of absence i have call into my dr,medical,
just got out of bad relationship with a narcissist..  trying to gather up the pieces of me that were shattered,emotional,
overwhelmed stressed anxious,work,
"being pregnant is hard enough but now i have to stress over finding a place to live, finding a place to live, and not getting sick all while trying to get my maternity cloths while three fourths of businesses are deemed non essential and i just feel like i'm too much.",medical,
"finance, bipolar, low self esteem, poor body image ",emotional,
dealing with managers who refuse to be part of a solution to many issues.,work,
my work makes me feel useless,work,
my work makes me feel ___uncomfortable _,work,
suspicion of co workers,work,
"there is a person i work with that goes out of her way to make me miserable. the stress we've been under has only made things worse. i have spoken to her privately, but all she says is ""thats just how i am"".",work,
how do i signup to this zp better choices to make better choices and win money?,zp,
emotional support,emotional,
my job is stressing me out,work,
stress,emotional,
i been off from work for being sick 😷 and i think i put in the wrong reason when doing the online form how can i fix that?,medical,
my struggle is fixing my life,emotional,
i haven't received my pay for testing positive plus it isnt what it would be ,work,
"stress from work, unequal work distribution and respectations ",work,
balancing life and relationships,emotional,
bills n rent,money,
disrespected,emotional,
"i am concerned with my store remaining open to the public.  i understand that our customers still need to be able to buy food, but i don’t understand why we can’t be curb side only.",work,
my work makes me feel that i have to go in in these crazy times. i am 60 years old and am afraid to catch this virse. the only time i go anywhere is to go to work. they have already 2 cases in our area. don’t know what to do.,work,
my family makes me feel ststressed because i try to be everything to everyone. ,family,
just a thankyou for being there for people in need. no help needed,emotional,
working at walmart with the outbreak of the corona virus,work,
work stress,work,
"my concern is i am 72 yrs old and a diabetic. i have been off work for several weeks for fear of contacting. i am a cashier. how or what can i do to get money. i was on aol for surgery but i have since been given a ""good to return to work"". since then i have been sick and not returned to work.",medical,
my work makes me feel terrible.,work,
"i'm married more than 12 years now without kids, me and my wife struggling with it.",emotional,
was do e wrong by ex and cnty lost all i had but truck got throwed on streets some stranger's have helped me past 9 days yet need own home and wanted help about being wrongfully done am 54,emotional,
struggling at work with my personality,emotional,
my doctor refuses to treat me any more can some one help me with some health issues,medical,
just life in general,emotional,
dealing with  customers,work,
hugs,emotional,
i'm  getting tired of not getting my full 40 hr week. i can't  pay my bills on 35 hrs a week,work,
"food , house payment, house insurance, about to loose my car, can’t pay car insurance. not enough money to pay bills or get food or medicine",food,
choices,emotional,
and older go home with pay.,money,
strange way of asking for things i allowed to gettin it but now the way that i wanted,emotional,
it's not all about the money. some are the disrespectful customer's.  and more so from your own  coworkers and csms,work,
hypothyroidism and anxiety and depression,medical,
depreesion,emotional,
my struggle is that i get made fun of and everyone wants to know my personal life. i get no support on what i want to learn .  they keep yelling at me . when all they need to do is give truthful instructions. they teach the wrong things then they yell at you.,emotional,
headache,medical,
i work at walmart and they are making associates wear masks. not all people can wear masks. i have copd and asthma and can not breath in a mask so what do we do. i've been with walmart almost 25 years,work,
"i'm so fed up with having to hand in my hand scanner when i take my break if i get to catch one, or hand over my scanner hand printer when i go to lunch.  only to come back and not get them back because it was given to someone else, and we have to wait for one to get found or brought back.",work,
"my life makes me feel like i am not accomplishing as much. i feel like i just sleep work and take care of my son. it just seems everyone else has all this energy to do other things in their busy life, and i just sleep.",emotional,
my relationship makes me feel k,emotional,
my mother causes me stress,family,
why do we have to be open? i think curb side pick up would be better. we control the food that ppl. are getting shelves get stocked.,work,
my stress makes me feel _afraid___,emotional,
my relationship makes me feel pissed,emotional,
"my granddaughter works a walmart ,how can she purchase a used car through walmart",work,
financial  stability,money,
i have trouble loving myself first,emotional,
hi i have been with my walmart going on 10 yrs now i just got tested thursday and waiting for my results today or tomorrow a friend of mine is picking up a doctor's note for me i am full time is there a way for me to get paid while out or until my results come back,work,
bill's,money,
finding people who are single with hiv who are looking to start dating or making friends.,emotional,
"depression, infidelity, anger, relationship",emotional,
"depression anxiety getting upset over stupid thing's  and let it eat a me, dont trust no one",emotional,
people who are not taking virus seriously.,emotional,
im struggling to pay bills right now due to covid-19 and my disability.,money,
i'm sick with allergies. sinus infection and ear infection. i sneeze and cough. i'm not sure how customers will react to me. i'm a customer host. i only have 46 hours of ppto/ pto. i have called in for two days already. i just dont know what to do.,medical,
work makes me feel terrible,work,
well...i haven't felt good since last week. i also have copd and my fiancee and i are taking care of his 81 year old mother with last stages of alzheimers.  what should i do,medical,
scared to go to work,emotional,
workers get anything,work,
just recently separated now trying to  get organized and clean at home with the kids and financial stability,family,
my stress makes me feel stress feeling alone no help,emotional,
i want to sign up for my stimulus check,money,
how do you cope with a asm that continually blames her employees for her actions or lack of,work,
adult children,family,
deaths,emotional,
single and my daughter is on lock down,family,
anxiety depression,emotional,
my work makes me feel awesome  but when all mods drop no help with them and tons of new fright where do i start?,work,
"my stress makes me feel scared.  u s as associates have to wear masks all day at work, but customers don't have to.  there are not very many customers that wear masks",emotional,
my stress makes me feel like shit,emotional,
karen...,emotional,
new job,work,
"since the pandemic hit, our store, of course, closed the drinking fountains,  but this is where we filled our water bottles, which is all we're  allowed to drink on shift.  i was working for an extended day, and ""stole""water from the 5 gallon dispenser. why aren't we provided water to drink?",work,
the struggle i have many wal-mart employees have.  because of being an older person with some health issues it was unsafe for me to continue to work in this pandemic.  obvious being 72 and considered still employed i cannot get financial aid such as unemployment.   this creates more stress.,emotional,
how long does it take walmart to release some off a year for medical health.,work,
my job is causing all kinds of stress,work,
help with anxiety,emotional,
i'm afraid to go to work but i'm also afraid not to go,work,
i'm transgender and want to be out at work and my life but i feel there is things that will be very complicated and i'm trying to find myself and what i want to do,emotional,
i’m struggling with savings. any tips on effective ways to save?,money,
stress makes me feel _helpless___,emotional,
cant even buy just what we need because of the panic buying. i am 67 years old and cant get basic supplies.,emotional,
aggressive,emotional,
dealing with negative people,emotional,
my relationship makes me feel ___untrusted_and stressed out,emotional,
forced to wear a mask...being clostrofobic,work,
my struggle is always making just enough but never enough to progress which is why i probably hold myself back because no matter how good or how lazy i am i always seem to keep myself where i am so my struggle isnt  to make more but to progress in what i do,emotional,
"started college it is stressing, my one son needs my help with his 2 year old all the time",family,
have the cov 19.and wondering if there anyone else dealing with this.,medical,
i don’t like a mask for 8 hrs,work,
customers rudeness,work,
stressed !,emotional,
i'm  getting migraines now,medical,
working all week with no raise,work,
lights & rent & my car fixed and legal & the internet,money,
i love take care costumers,work,
sometimes i feel alone and that im not good enough and keep failing.,emotional,
my stress makes me feel ___tired_,emotional,
im tired of trying,emotional,
temps getting higher pay,money,
my work makes me feel __sad__,emotional,
my self esteem is low,emotional,
communicating effectively to store as a community,work,
struggle make ends meet .financally .pay to pay .overwhelm with debt..depression really starting to hurt.unhappy.love life gone .,emotional,
scared and lonely ,emotional,
i'm  getting tired of not getting my full 40 hr week. i can't  pay my bills on 35 hrs a week,money,
"s as associates have to wear masks all day at work, but customers don't have to.  there are not very many customers that wear masks",work,
the face masks mandatory 😡,medical,
km x f,emotional,
stress makes me feel ___tired_,emotional,
crazy hours ,work,
worry and stress,emotional,
i work with a very spiteful mean person not sure how too deal with  it,work,
adhd,medical,
family,family,
supportiv,emotional,
wondering about the emergancy cares act payed family leave,money,
i am miserable with my life right now. i am struggling to lose weight. i.am at a stressful job that is killing me. i am depressed with too many reasons why. i haven't smile in a while or laughed. i am miserable.,emotional,
a single mom of 3 an i'm having a hard time getting a job an with no money for gas it's a every day trying to get an live day by da an theses winter months are cold to be walking in with 3 kids,emotional,
emotional support for men,emotional,
focusing on working out but being a single mom,family,
"crowds of customers too large. and the majority still not wearing masks or any type of covering. some that do, not proper either nose out or even holes cut out around mouth. really sad, selfish and feel really disrespected.",work,
associates afraid to tell the truth in screening out of fear of pay loss,work,
getting back to work after loa after taking off for self isolation,work,
we are right in the line of fire just like a hospital workers and nurses and doctors i think that we should get hazard pay,work,
i'm a domestic violence survivor i was shot in my stomach by a ex lover and he stabbed me ..i need help with a lawyer who. an work for free ..plus i need case management for my daughter and i we need money,emotional,
i am 72 years old and work at walmart i cant decide if i need to quit,work,
drug addict,medical,
so how does this work,zp,
wearing those damn masks all day. my face is breaking out.,medical,
managing the pressures of work & juggling competing priorities with the added pressure of parenting and staying in sync with my partner,work,
my son has schizoaffective disorder and is hard to live with.,family,
frustration with wife,family,
there are no right people,emotional,
i took in a grandchildren i do not give assistance and take care of myself and it has been a struggle their mother is incarcerated right now some days are better than others but i won't change nothing about it because i love them,emotional,
my boss makes me feel like i don't want to be there! but i do! i worked to the bone and put in my heart and soul for 27yrs! now they say im not doing a good job! i feel like i'm being bullied!  this is like harassment! i can't believe they treat me like this in a middle of a pandemic! ! wow!,work,
i worked at walmart for 6 years i am now disabled during the time i was off until i was approved for disability i received no compensation i paid long term and short term was taken from my check how can i get my compensation,work,
not fair caught the virus at work was out on quarantine for 9 days and didnt even get paid for being out that sucks  i caught it there any way should of had been paid,work,
emotional having no friends,emotional,
problems at work,work,
husband wants a divorce give me 3 weeks to move,emotional,
do i get a stimulus check,money,
my boss makes me feel dehumanized,work,
"i am a cashier at walmart and we wash hands,use gloves and hand sanitizer no face shield. i am a 72 years old love my job but yet i also need to take care of my self and my co workers but i would like to continue working there without losing my job after the  corona virus is over. what should i do?",work,
co worker that is mean to me,work,
ok i hurt my leg a year ago just got back to work and i fill like im getting to be set up and fire i had black out day they put me to work,medical,
mental health,emotional,
so if i am quarantine will i get paid?,money,
anxiety about work,work,
anxiety over possibly giving the coronavirus to my soon to be one year old son but needed to make money.,emotional,
my fear of failures makes me feel like i'm constantly on a roller coaster. i'm good at first and then i'm wondering what i'm doing wrong now.,emotional,
people in gen they are mean and so takening out they anger out on us,emotional,
customers not caring about our safety ,work,
social distancing,medical,
my work makes me feel sstrestress,emotional,
mething makes me feel,emotional,
testing acb,emotional,
"bring down people,",emotional,
worried about contracting covid19,medical,
we be married for four years. ,family,
"i'm upset and angry about customers not wearing facial covering. i want this to be over so i can spend time with my youngest daughter. she has stage 4 breast cancer. her prognosis was 3 years. on january 2, 2018. this could be my last year with her and i can't be with her due to exposure at work.",work,
my work makes me feel like i aint making enough.. due to my werkly rental.._,money,
i would cheak my card,money,
my work makes me feel scared,emotional,
dealing with covid 19 when i am high risk i have copd,medical,
why can't we wear masks with signing a waver,work,
overwelled,emotional,
wearing masks while working n getting dizzy from it,work,
being afraid of  being fired  because of non productive work,miscellaneous,
distractions,emotional,
i am worried about my immune diesease and now that new york is closing down except essential workers,medical,
what to do when you care more about the customers and the fellow workers than the store manager do?,work,
my something makes me feel ___sad_,emotional,
"my work makes me feel some days are very busy, eaither people are very nice or just rude , it's crazy , gosh we try really hard , i don't know , and this world is a mess , i guess sometimes i fell like i don't do much right , but i got to say i've never had such nice bosses ",work,
co-worker confirmed with covid,work,
my work makes me feel awesome  but when all mods drop no help with them and tons of new fright where do i start?,work,
i'm afraid of getting fired,work,
with store hours closing earlier and open later will that affect our working hour shifts,work,
rent is due in 5 days and every rent assistant program i’ve called in flagstaff can’t help i don’t have family or know anyone that can help,money,
my son 25 was hurt in a work related accident about 1 1/2 yrs ago. he started getting temp disability after getting a lawyer an waiting for almost a year. finally had one surgery done and been waiting to have back looked at. i have been supporting him an trying to help as much as i can.,medical,
i'm on a leave of absence no money coming in,work,
helping customers when half of the crew calls out.,work,
can't pay my entergy bill,money,
"anxieties, about when i can go back to work because i am at risk of catching this virus.",work,
getting management to understand that time restraints in our work is only achievable in perfect conditions. ,work,
i just came back from an loa so i have no money to stock up and there's no essentials on the shelves if i did.,money,
when do essential,work,
"why aren't we, walmart associates recognized as first responders also. we have to work everyday in this coro-environment with the public?",work,
my stress makes me feel i,emotional,
wearing a mask,medical,
management doesn’t people the health and safety of customers and associates first,work,
something,emotional,
i recently got into a relationship with a guy had a child but he is nine years younger he want work he plays the game all day whenever i say something about it he brushes me off  i also have seven other kids beside his i’m very tired what should i do his daughter is very attached to him what am i to,emotional,
my work makes me feel  very humble.,work,
having problems with housing. right now i am homeless,money,
work ,work,
my stress makes me feel _crazy___,emotional,
my boss makes me feel ___beneethe him.looking and planning to get me fired,work,
stress and anxiety. people that visit don't stay back from me. they want to get up close and talk. to many people want to visit and not get in and out with purchase.,emotional,
superv,work,
commitment of associates to come to work,work,
"my stress makes me feel  angry, frustratrs, and emotional",emotional,
i lost my husband and granddaughter in a fire two years ago and i'm in deep depression of pissed all my family away and i want to build it back,emotional,
covid,medical,
disrespectful irate consumers.,emotional,
anxiety attacks and depression about going back to work. i have been out almost a year now.,emotional,
hey i’ve never ever done this before but i’m at my wits end and hoping i can get some solid advice for questions and guidance on where i go from here i’m at a loss,emotional,
"finances, love",money,
confused with relationship,emotional,
money,zp,
my so,family,
i’m stressing so much i feel depressed sometimes wanna give up on life i cry people think i’m just crazy just feel so low,emotional,
my something makes me feel lost,emotional,
my life makes me feel scared as things change especially afraid of losing my job,emotional,
i worked at wal mart for 25 years had a stroke and to go on disability and soon retired but i miss being and seeing my friends,work,
"i need $8000.00 before friday. no resources, bad credit.hard knocks life. help",money,
i got treated well and have very few things to complain about .,work,
people are not conpliying with one person from family. still coming in groups. they don’t care. ,work,
just 2 talk a little,emotional,
i like you and i like everything and i like this episode nice i can just call my mom and my dad and chat with other people that's like you can tell me whatever multiplies things like i like this like a snow fairy knots that i can't believe i like like like like like this,family,
my sister has cancer. i want to be with her.  i  can't i have to work.,family,
sex in bed with my wife o don't know how to get things going again,emotional,
my stress makes me feel __full of anxiety__,emotional,
trans support in workplace,work,
working for hourly supervisor that literally says l don’t get mad l get even she always stays just within the confines of compliance but will talk very nasty and rude most of the time and is backed by store manager,work,
i want to change jobs and have talked to management but have to fill out correct forms,work,
repairing relationships now that i’m living with my parents and away from brent.,family,
working in the coronavius,work,
"i work at walmart, i have heart disease, three stents, high blood pressure. my town is on a 30 day stay at home order starting at 12:01am i do not want to go to work. what should i do",work,
anxiety/relationships,emotional,
knowing we're  doing our best !!,emotional,
"we need more money,  the public acts as if there is no stay at home order, and it's always crowded ",work,
work makes me feel sometime upset and not want to go to work,work,
when accidents occur let us pick our own dr. not one that is working for the company that is paying them to send injured workers back to work. they stand with the company rather than the patient.,medical,
more money,money,
need cash,money,
bullying,emotional,
walmart workers,work,
iam upset some people can't get the vacation days they want due to no coverage not our fault,work,
my family makes me feel ___stress_,family,
my relationship makes me feel __good,family,
need to talk to someone about my son who is in prison and is sick,medical,
"having to work sales floor with hot, suffocating mask, while customers without a mask stroll around like sunday in the park!",work,
"i am going to stop the zp challenge  and do it later in the year as i've been working crazy hours and not sleeping well do my health, exerxise,and eating right are way off",zp,
am just curious. myself and many more at our store have not called out 1 day since this pandemic started. most of us do overtime as we have had up to 50 call outs a day. it is exhausting to cover for the lack of help. if points are not applied this will continue. when will this stop?,work,
car payment,money,
i made a comment yesterday in a fit. i am trying to remove it so i don't get in trouble at work. however i can't find it. i just had to blow off some steam. irresponsible people drive me nuts. how can i find it to remove it? thx for being a sounding board!,zp,
my work makes me feel scared working with the public that don’t follow the covid rules put all the employees at risk,work,
i have been on leave of absence  since  february 1st  taking care of my husband  he  gets  real shaky and falls  and it takes every thing i have just to get him up and i'm under stress,family,
stress makes me feel sad,emotional,
going to work thru this whole pandemic,work,
crancky people,emotional,
my job can be stressful. what are some good ways to deal with this issue?,work,
how can live on 24  hrs a week,work,
my family makes me feel frazzled,family,
 keeping my emotions calm and  staying focused positive 🙏,emotional,
i am extremely frustrated that the walmart i work at is not requiring customers to wear masks which goes against the governor's mandate. we must wear a mask to protect the customer from us but the same respect is not shown to the walmart employee. apparently making money is more important.,work,
over worked while others just stand and watch being always told to get busy while others just stand,work,
we need more pay,money,
stressed at work,work,
knowing the rules of the wire concerning can i use my sick time during coved time to get  paid if,work,
my sister's birthday is today and she died last september. ,emotional,
something makes me mfeel mnmmn,work,
tired of customers being so rude and disrespectful to us walmart employees as we are trying to stock the shelves.,work,
i’ve tried to commit suicideat least 5 times in the past. last year after my son “ kyle” got a gun shot himself in head and killed himself...he was age 27. i attempted suicide doctors said they revived me then i died 4 times total each attempt i would live for a few minutes then my ❤️ heart would sto,emotional,
i'm scared to go back to work. ,work,
why aren’t front line people getting hazardous pay,work,
my stress makes me feel ___scard_,emotional,
"we are all feeling stress, each in our own way. seems like people are getting short with each other and lashing out without fully understanding what is going on.",emotional,
"i'm married more than 12 years now without kids, me and my wife struggling with it.",family,
helping otgers wirh suppoer ,emotional,
aniexty afraid  to call out dont need a point,work,
"i suffer from depression, ptsd, and anxiety.  i feel like i am being  targeted by certain managers. i am scared to go back to work and panic attacks at just the thought of going to work.  haven't been to work in 3 weeks, which is compounding my anxiety and depression.",work,
good morning just wanted to say that lots of times you get yelled at and they do not explain and teach you first . there way of doing things is backwards. you get taught the right way saves a lot of time and energy.,emotional,
trying to keep  people' feel more safe and  enjoy there life put a smlie back on there' face letting them know someone cares about them trying to make there day just a little bit better,emotional,
my work makes me feel ___over worked. not appreciated.. and health is at risk_,work,
my man has been out of work for three month do to prostate cancer i had to take a loan e off my life insurance to pay bills now we have a eviction notice to be out by the 12th of this month we have no where to go i get widows pension but not enough to pay all the bills i need help i give it to god b,money,
anxiety. ocd. ruminating thoughts,emotional,
someone to talk about all the things i do ,emotional,
i work in the deli on nights, there are three of us right now. 6 days out of the week there are only two of us. day shift has two employees in the deli so 4 days out of the week there is only one person.,work
frustrated with coworkers not wearing masks properly,work,
cindrella man,emotional,
my stress makes me feel ___tired and helpless_,emotional,
trying to balance my home life taking care of my elderly mother with dementia and working.,family,
i'm overwhelmed by the changes that are taking place at work and at my home.,work,
my work makes me feel un important,work,
i dont feel comfortable going to work because of the coronavirus,work,
this worries me a lot because i am adieter i'm so afraid that this could happen to me but i pray every day,emotional,
"i am 75 in good health except for a-f. today is my day off, but i volunteered to go in to work on mods. i flew from dallas to chicago yesterday. now i wonder if i should not go in for a few days.",medical,
be a lot easier,emotional,
my relationship makes me feel down some day’s,emotional,
this site does not work,zp,
help other with support,emotional,
getting my kids to health,family,
as a assaciate i feel that we should limit the sales of certain items cause we can't get it while we are on the clock by the time we get off work it's gone cause it's a limited supply that comes in and we should be able to get one each instead the customer are buying cases are more when it comes in,work,
worry,work,
money i have been quarantine twice now and almost out of pto both kinds i thought sedgwick was going to help but they said to use your pto,money,
work makes me feel ___stressed_,work,
work makes me feel ___angry_,work,
my stress makes me feel bad,emotional,
siblings,family,
hi i need someone to answer my question please,emotional,
i would like them to give us latex gloves at checkouts.for our protection.,work,
i try my best to be so nice to people that come thur my line. and then they are so mean like everything is going on is my fault.,work,
"my stress makes me feel exhausted, constantly worried about catching the virus",emotional,
virtual...,family,
trusting people,emotional,
scared i'm going to get my kids and husband sick,medical,
i haven't a clue to what i'm doing! i would like to do is wait in order to get my hip replaced so wheredo i go from there.... this is not ve,emotional,
my life makes me feel blessed ,emotional,
not happy,emotional,
helping customers get what they need when we are out of stock.,work,
i am 72 years old and a part time sco host. i have taken loa since mid march due to the corona virus. i have underlying medical problems and have been 100% self quarantined . living in texas where the state is at a high rate of this virus i just do not feel safe going anywhere in public.,medical,
work makes me feel afraid,work,
i’m depressed and don’t want to be. i don’t want to go to work in a couple hours. i feel what other people feel and it’s effecting me negatively.,emotional,
"tired of the craziness of the ""racial unrest"" i'm not against black people, but i'm tired of them whining about stuff that happened 200 years ago. these new rioters have never suffered on a plantation like back before the civil war.",emotional,
i'm afraid to go back to work at walmart because my husband and i are both high risk but have not been approved for unemployment yet and it's been 6 weeks since i have been paid,work,
my relationship makes me feel seek attention from other guy but never have i ever cheated ,family,
my work makes me feel ppretty good !!!,work,
my sister's birthday is today and she died last september.,emotional,
i’m dealing with death in my family too fast. i have stayed home for a while but i was told i still have to work because they’re run a business,family,
management is messy,work,
no credit. trying to build one,money,
there is no team work when  certain people work,work,
i feel that steps were not taken immediately to protect associates that work with face to face close contact with customers/patients.,work,
"i'm debating if it's safe enough to return to work. will masks be allowed, as i'm immunosuppressed. are associates temperatures going to be checked prior to starting their shift?",work,
"i am considered high risk because i have copd,  diabetes and liver disease but i go to work everyday.",work,
covid-19,medical,
get us a mbonus for this con virus since we have to work during it,work,
my stress makes me feel __tired and sad.__,emotional,
"my stress makes me feel tired, no energy",emotional,
my boyfriend has left and i struggle to move on. i desperately need him back.,emotional,
my boyfriend has a mental illness. he crossed the line and scared my 13 yr old son. i had to kick him out of my house.  i care about his safety because he's living in his car. i want to help him. i don't know what to do,family,
someone to talk about all the things i do,emotional,
"i am a customer host... stressed every day with rude customers.  stressed that we have to be right there with all the people who come into our store. worried who might have the virus from all the people  we are in contact with.  tired,  stressed and worried. ",work,
i have been matched need to get back to her,emotional,
i may have a stomach virus or the corona virus the doctor said he can't say which. i called the e. r. where i live and they don't do tests there plus there's no drive through resting around where i live i work with the public in the deli department,medical,
my relationship makes me feel  complete but i dont have a relationship,emotional,
i’m a workaholic my husband is not i feel like i have symptoms of covid 19 he wants me home more i feel like i’m nothing with out my job.,work,
other makes me feel ___ppl not social distancing. extra workload after store closes with a little amount time due to some customers are still in the store 10 or 15mins after store closes. not enough training provided to new hires. _,work,
"i have been working all this time and lately i feel like i am going crazy, burnt out, depressed. i just took a covid test yesterday and they say it might take 5-10 days for results. i have not been feeling well for the past week and left early (about an hour) twice. i am afraid to call in",work,
my family makes me feel stress,family,
low self esteem,emotional,
"my husband is a dangerous diabetic. meaning hes at a very serious state of life. he refuses to go to his regular checkups to get refills, i have to make him take his meds, he won't eat right or exercise, at all. the dr said right now only 1/2 of his kidneys are working rightnow. he says he don'care",medical,
"struggling with rent and utilities,  have back injury only working 16 hours",money,
can not breath with a mask on plus its hot,medical,
my stress makes me feel __ugly.__,emotional,
my something makes me feel  interesting,emotional,
"so many customers all up under the associates and socializing down the aisles, i don’t they realize how dangerous this virus is and they don’t value our lives or their own",work,
my work makes me feel ___bullied stressed_,work,
why is it that when some people put in for time off they get it right away but when i put in for time off 5 1/2 months ahead of time it is still pending in the system,work,
my relationship makes me feel like i am having a hard time dealing with my situation and i feel like i am falling apart.___,family,
my job is stressing me out,emotional,
my struggle is keep moving forward with 4 kids as a single parent.,family,
getting out of debt ,money,
my work makes me feel like slave,work,
my something makes me feel depressed,emotional,
wearing these masks all day while working. to hot & makes me light headed!,medical,
"work because as an walmart employee we're required to wear masks. and i'm ok with that. but the customer comes in no masks some coughing every where.  we're already putting our life in danger,  so the customer should also be made to wear masks while in the store. i'm in florida.",work,
my work makes me feel  exhausted and exhausted and,work,
sexuality advice,emotional,
stress out not enough help even though i love job and customers,work,
i struggle to please everyone i work with and people in my life.,work,
unworked freight over 1pallet,work,
stress makes me feel ___overwhelmed and over emotional _,emotional,
stimulas money,money,
my life makes me feel sad_,emotional,
feeling very stressed and struggling with getting my hrs every wk,work,
why don't we receive extra money?,money,
what number should i call to report an absence,work,
i took the covid 19 test wait on my result.,medical,
getting management to understand that time restraints in our work is only achievable in perfect conditions.,work,
my stress makes me feel overwhelmed and fearful. there is no respect for distancing or ppe.,emotional,
horrible depression,emotional,
my work makes me feel stress.,work,
my share payout.,money,
we need two days off together to rest. dont understand why we cant get that,work,
am having problem with money right now am need of car asp it's not in my budget,money,
just stressed out. my life has been a complete bad dream since july.  i am so stressed out and can't sleep at all. only had about 4 hours of sleep in 2 days.,emotional,
just burned out with going to work every day and no support from work.,work,
my work makes me feel uappreciated,work,
i am trying to get my fiance and i off the streets. i can't physically or mentally hold a steady job. he has his guard card. i have been on the street for a year and a half now. and i need to start seeing a therapist for my adhd and autism.,emotional,
my work makes me feel sad and frustrated,work,
my stress makes me feel tierd. in have neck discomfort,medical,
life. dealing with the same routine daily.,emotional,
knowing the rules of the wire concerning can i use my sick time during coved time to get  paid if,money,
my work makes me feel uupset,work,
hate the world ,emotional,
why do we have to wear masks for 8 hours a day when all these customers coming in here never wear them i think it would only be fair if walmart force customers to wear masks in the store for our safety,work,
"i went out on disability for mental health reasons because of the way customers treated me with no backup from management.  now i find out i'm not eligible for nys disability because i receive ssd. wow really. if management had backed me up at all, if i felt supported at my job i wouldn't had had to",work,
my family makes me feel stress,emotional,
"my work makes me feel scares i might get virus, too many shoppers close not following  instructions family’s coming in lounging",emotional,
i've been on leave since may and doing the time i'm on the way. i did not receive any of my company bonuses,work,
depressed,emotional,
nervous about going to work with this virus,money,
for over a year i have had the same hours every week...37.5 every week and now all of a sudden they say that a computer is now making our schedules and my hours have been cut. i have been with walmart for over 4 years and i now i dont know how i am supposed to make ends meet?,work,
i have been trying to get transferred for over a month and haven't been on the schedule for my old store in weeks...,work,
just got out of bad relationship with a narcissist..  trying to gather up the pieces of me that were shattered,emotional,
"trying to management that even sometimes we that have autoimmune issues or other medical problems just because we may not look sick on the outside we are living a daily struggle, and to get that response "" well you don't look sick or you look fine today"" know we are not fine!!!",medical,
no team work,work,
my something makes me feel good _,emotional,
i work at walmart and i am scared i will get sick,work,
my life makes me feel unhappy__,emotional,
hazardous pay at walmart,money,
