sentence1,sentence2,label,,,,
"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.",I just really need someone to talk to.. I feel so lonely..ðŸ˜”,0,,,,
in pain,i'm in pain,1,,,,
To find a mate,To find a girl,1,,,,
i am bored as heck,lonely af looking for a bf,1,,,,
Boss makes me feel frustrated,"i don't know how to accept my sexuality. but i don't know if i'm bi or gay. there is so much bi-phobia and it sucks. i don't know if i could ever be with a woman, but i think girls are hot. and i like them a lot more than guys. BUT IDKIDK.",0,,,,
I need help,I’ve been bleeding non stop for over a year,1,,,,
"i wanna die ,, just dont see the point in living anymore","really bad night, left home and sitting in a parking lot, nowhere to go",0,,,,
"Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.",I'm so depressed,0,,,,
I wish you could choose who your parents are.,I want to be more active but I'm too depressed.,0,,,,
lost a friend. just need someone to talk to,i need help figuring out how to talk to my parents,0,,,,
"i feel anxious all the time, i feel unmotivated suddenly, i feel ugly and useless the past few months.",up,0,,,,
I feel stressed out about relationships and i don’t know if I’ll ever have one,I'm just now realizing how lonely I actually am,0,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??",1,,,,
my family makes me feel angry and stressed and upset with myself,attraction,0,,,,
i’m on the verge of getting kicked out of college and having to move home and lose my girlfriend and friends and everything i’ve worked for and i feel overwhelmed and alone and like a burnout and i feel so aline,"unloving relationships, work too much, dont know myself",0,,,,
self esteem,i struggle with delusions i repeat words in my head i want learn skills and coping mechanisms to deal with it,1,,,,
Days just get lonelier with no relief.,I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,0,,,,
heyy whats up?,currently awaiting a reply from someone i'm interested (we have been talking for a few months) in on how to proceed with our relationship  and i'm feeling anxious,0,,,,
i can’t let go of my ex and my life with her starting again is exhausting and unbearable,loneliness,0,,,,
"i feel lonely and i have no one to talk to , i push away everyone cause i don't want to feel like a burden to anyone and my mother is driving me crazy","everything makes me feel alone, heartbreak",1,,,,
I can’t get any nudes or ass shots,Can get any nudes,1,,,,
I have no friends at all,I'm so depressed,0,,,,
feeling sad,i have a lot of feelings and a lot of thoughts unsolved yet i wanna talk about my feelings my love issues,0,,,,
my relationship makes me feel,breakup,1,,,,
anxiete,"i'm struggling with just about everything  i'm completely stressed out , social anxiety and trouble maintaining relationships",1,,,,
Relationship makes me feel angry,I miss him so much. Sudden death fucking sucks. My lover my future gone. If there was a billionth of a chance I could be with him…,0,,,,
idk what my struggles are tbh,i think i'm a narcissist and its eating me alive,0,,,,
Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,"I feel like there's something wrong with me, I do so much for him but doesn't show exactly the same back. Not on an emotional level but physically and maybe sexually as well.",0,,,,
opinion,my relationship makes me feel confused,0,,,,
I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,My finance is looking pretty crappy right now!,0,,,,
parenting struggles makes me sad,balancing responsibilities as a son and as a husband,1,,,,
friend,addiction and lust with other,0,,,,
i think that i am always going to have the feeling of wanting to die,i don't care about anything anymore i just feel numb,1,,,,
kinks,gggg,0,,,,
school makes me feel,my boyfriend did something and idk what to do,0,,,,
stressed,hopeless,0,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .",Wish to tell him about my grief very soon,0,,,,
I don't feel like she loves me as much as she says she does,Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,0,,,,
loneliness,am lost feeling lonely,1,,,,
I feel like my gf is mad at me,Can someone figure out my sexuality for me because I can't,1,,,,
xbox,is online met boyfriend good?,0,,,,
i feel like i’m nowhere near reaching my goals. i feel like i’m a loser.,negative teammates,0,,,,
should i forgive my boyfriend?,my girlfriend talks to a lot of guys,0,,,,
"Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.","Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.",0,,,,
i hurt the person i love. i am in pain,my relationship makes me feel moving on from an unhealthy relationship,1,,,,
Why did I stoop so low and dated a married man. ....I broke it off but now I miss him,I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,0,,,,
depression aniexty,other,0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,0,,,,
i feel i am getting apart fron my family,I'm so depressed,0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
financial troubles,relationship troubles,0,,,,
I'm worried about losing my job,Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,0,,,,
knwo this guy who we are friends with at school but in school he completely changes and doesnt rly treat me like his friend instead he treats me like a way for him to get more popular by being a dick,trans,0,,,,
its related about food.,my body,1,,,,
my stress makes me feel,my adhd,0,,,,
"i have anxiety, depression n also a mild case of paranoia",abusive parents (unsure),0,,,,
struggling in my neighborhood,i need advice,0,,,,
i cheated on my ex partner with my best friends boyfriend at the time,lycra,0,,,,
depressed,"relationship, relationship issues",0,,,,
I'm afraid my ex is in an abusive relationship,I am worried my ex is in an abusive relationship,1,,,,
non pysch major moderator in supportiv,recently ended a long term relationship. feel blindsided by the break up. would like to reach out for another chance at the relationship. need to process own emotions to grow. need to learn better emotional outlets.,0,,,,
self harm,covid19,0,,,,
wierd,karen,0,,,,
"feeling alone? just feel like i have no one to go to because i can't talk to my family, and i feel like my friends might feel as if i am too dramatic or something","wife angry, family shit",0,,,,
i dont want to do anything with my life and when i look in the mirror it feels like im looking at a stranger and i just dont feel like im real,still in love with ex,0,,,,
"I feel like I don't matter to him, by his actions.",So nervous for school it's starting tomorrow,0,,,,
no meaning,rainbow,0,,,,
social anxiety,pets,0,,,,
Wish to tell him about my grief very soon,Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
relationship,"relationship, relationship",1,,,,
"depression, anxiety, and more",my life makes me feel giving up,1,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,I constantly think my kids would be better off without me.,0,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",I'm tired of my dad treating me like a piece of shit,0,,,,
Days just get lonelier with no relief.,"Feeling a little sad, morning the loss of our baby",0,,,,
"The girl I like keeps hanging out with this other guy,what do I do?",I have no problem beating up a none year old if they don't stop bullying my little girl.,0,,,,
i’ve been lying saying i’m okay,break up,0,,,,
3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,i think a sexual assault several years ago has damaged me more than i realized,0,,,,
I have problems with friends being mean to me,I want to talk to one boy about my problem with friends being mean,1,,,,
i’m sad and just need a conversation,its related about food. i’m so scared to gain weight all i wanna do is just lose weight but today i ate and now im afraid that tomorrow i gained a few pounds. please i need someone right now.,0,,,,
"I tried to quit smoking, for 7 months, days after days, promises after promises.","My girlfriend just left me, her dad is abusive and he found out about us",0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",Wish to tell him about my grief very soon,0,,,,
I have no friends at all,"I was out with my girlies today and they were all talking bout the hot guy strangers, I didn't notice a single one of them I only noticed the hot girls ... it irritates me so much I can't change it and my family'd disown me if they found out that their daughter is a lesbian.. they could even lock me up in a hospital till I get cured ... I just wish I was like other girls ... I wish I could fall in love with the opposite sex",0,,,,
"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??",My finance is looking pretty crappy right now!,0,,,,
im 14 but i like 18+  roleplay,"sexuality, im bi with homophobic dad 14 years old ex catfish role play lover",1,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .",I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,1,,,,
depression,i dont know what to do,0,,,,
I don't feel like she loves me as much as she says she does,I scared I may be pregnant and he won't give up his old life,0,,,,
My friend played with my dick,My friend son caught me masturbating,1,,,,
"I am nervous, I don't know why. I can't live much longer. I want to die.","When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",0,,,,
married,wanna talk,0,,,,
life,terrible domestic situation,0,,,,
i need advice regarding school stuff. there is just too much going on.,relationship advice regarding girlfriend getting mad at me a lot,0,,,,
anxiety,"depression, depression",1,,,,
i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,My finance is looking pretty crappy right now!,0,,,,
"I thought my depression couldn't get any worse, but with more bad news coming my way, I feel like I'm drowning :/","I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
"I feel like I don't matter to him, by his actions.","There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?",1,,,,
relationship problem and it’s taking a toll on my everyday life,love problems,1,,,,
procrastination,i can’t do this anymore,0,,,,
Working late again trying to balance work life and social life,This depression is just getting worse... I feel no hope...,0,,,,
can't go on with life but can't do anything about it too,mothers,0,,,,
married couple friends,being unable to verbally express my feelings to my mother-in-law and being unable to answer her daily taunts and belittling,1,,,,
i literally have no idea how to be happy,hsv2,0,,,,
no point in waking up,anxiety,1,,,,
Can someone figure out my sexuality for me because I can't,Living without drugs is incredibly challenging.,0,,,,
stress and anxiety,lacking of passion,0,,,,
I want to kill myself. Suicide is the best option.,"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.",0,,,,
my life makes me feel lonely,"so i got out of a relationship a year ago after he cheated on with a girl a new they have been together for a year, but recently i told her that he cheated on her with me two weeks later she changed her pics on facebook and instagram but on instagram it says sh/her in here info he deleted it all",0,,,,
Why did I stoop so low and dated a married man. ....I broke it off but now I miss him,Living without drugs is incredibly challenging.,0,,,,
anxiety,"anger depression, trauma, anger, anxiety and delusions",1,,,,
Light,Battery,1,,,,
"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.",I want to be more active but I'm too depressed.,0,,,,
"my boyfriend and i don't always see eye to eye and sometimes when we get into arguments, he just doesn't want to listen and the fact that i already have depression, doesn't help with the fact that i feel like he's always making it seem like i'm the bad guy  i just need to rant out to someone",work,0,,,,
i've been feeling sad for seemingly no reason quite frequently lately,love,0,,,,
lonley i'm an outsider in every group or activity i try to join,everything,1,,,,
"i hate that deeply rooted emotional trauma makes everything so difficult, whether it's loving someone, being the person you want to be, anything. it just sucks.",Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,0,,,,
"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",Can't find motive to study,0,,,,
"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?","My depression is mostly irritating after all these years, but still awful.",0,,,,
"I feel like I'm being deceived in some way by someone I just began dating, it's making me anxious but I can't explain why as this person doesn't really have a significant impact on my life yet",Family makes me feel restricted pressured,0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,I have no problem beating up a none year old if they don't stop bullying my little girl.,0,,,,
I feel like my gf is mad at me,"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.",0,,,,
"I just broke down in tears while working, nice, three more hours to go..","I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
Missed my mom. It's been a year but I'm still struggling to cope with her death,I want to be more active but I'm too depressed.,0,,,,
how old is shrek,addiction,0,,,,
i want advice on my ex. i try to go fall back from her because i couldn't make the relationship work and there isn't anything for me with her. i'll go a week without talking to her but she'll call me saying why haven't i heard from you or she wants to be friends still,i am got separated from my husband because he cheate on me,0,,,,
something,cyberbullying,1,,,,
"I am tired, work has been brutal lately.",Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,1,,,,
alone,i’m in pain,1,,,,
I think I may have postpartum depression. I'm scared to ask for help because I'm afraid someone will take my baby.,"I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.",0,,,,
sex,colleague undermining reputation leading to non renewal of contract,0,,,,
my life makes me feel,my relationship makes me feel sad/depressed,1,,,,
i've been married 6 months but i'm scared i'm in love with my ex partner,yeah i've already been on this site and my page refreshed because fucking phones and internet and shit,0,,,,
scared,i need to open up,0,,,,
Never get matched up Just keeps loading,Keeps crashinv,1,,,,
pregnant,i'm angry and need to talk,0,,,,
erecting,jerk,0,,,,
i want to take something off my chest,my something makes me feel like i’m not enough. that i’m not doing things right i want to take something off my chest,1,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,Missed my mom. It's been a year but I'm still struggling to cope with her death,0,,,,
Guy advice,Advice for girls,1,,,,
My finance is looking pretty crappy right now!,Family makes me feel restricted pressured,0,,,,
suicidal thoughts,other makes me feel confused,0,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,"i don't know how to accept my sexuality. but i don't know if i'm bi or gay. there is so much bi-phobia and it sucks. i don't know if i could ever be with a woman, but i think girls are hot. and i like them a lot more than guys. BUT IDKIDK.",0,,,,
worry,i kinda just want to die but i don't want to kill myself - like i kinda wish some tragic accident will happen and result in my death. mostly its just i want to never have to wake up again and like deal with life. its not necessarily that i want to die per say its just i want to stop existing.,0,,,,
you if there is a case of the virus at work and we have to leave work due to it. i can't afford to live on just the sick pay they provide what do i do,i'm just boring,0,,,,
it’s complicated,it’s all too much,0,,,,
i don’t have any hope for the future,family,0,,,,
"I feel like there's something wrong with me, I do so much for him but doesn't show exactly the same back. Not on an emotional level but physically and maybe sexually as well.",I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
lonely,idn,0,,,,
I have trichotillomania and I've never told anyone :/,"The abuse I'm going through is beginning to be unbareable, but I've got 1 more year until I can leave. No one helped me when I spoke up about it 4 years ago, no one will help me now.",0,,,,
parents and girlfriend problems and just worrying all the time about everything,relationship problems,1,,,,
I feel as if I’m not good enough for people,I feel really depressed,1,,,,
I feel so alone..,I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,1,,,,
I'm just now realizing how lonely I actually am,Can't find motive to study,0,,,,
depression,i like my ex girlfriends bestfriend,0,,,,
"i’m worthless always sad, but i kinda trick my self into being happy sometimes someone will say you ok? but i know they don’t actually care no one does not even my family i have no one",dog and roommate trouble,0,,,,
help,relationships,0,,,,
life,school makes me feel scared and anxious,0,,,,
i am 72 years old and work at walmart i cant decide if i need to quit,work issues,1,,,,
fear of dying of coronavirus,my life makes me feel,0,,,,
just not feeling like my feelings on certain things are viewed as valid by my gf,happiness,0,,,,
"depression, anxiety, panic",depression/ insignificant/anxiety,1,,,,
self harm,im struggling mu self harm urges im 2 weeks clean,0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,I just really need someone to talk to.. I feel so lonely..ðŸ˜”,0,,,,
This depression is just getting worse... I feel no hope...,Can't find motive to study,0,,,,
depression and anxiety,life life married life married life,0,,,,
Can someone figure out my sexuality for me because I can't,I want to be more active but I'm too depressed.,0,,,,
Missed my mom. It's been a year but I'm still struggling to cope with her death,Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,0,,,,
i care about the wrong person,hello,0,,,,
"i don't know how to make friends but i'm also not sure if i even want any, i feel lonely most of the time, and even if i know some people my age i still can't seem to relate to them or start a decent conversation without sounding so dumb, i just truly hate the fact i can't fit in",music,0,,,,
i go from really happy and energetic to extremely depressed to the point where i can’t move but just cry,my school makes me feel stressed,0,,,,
lonely,drugs,0,,,,
Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,I want to kill myself. Suicide is the best option.,0,,,,
"i had something traumatic happen to me for a couple of years , but i was young & i didnt want to tell anyone. i feel like its affecting all my decisions towards things i want.",I'm addicted to pornography but I'm getting better. Any tips for staying clear from the thought of it?,0,,,,
release of stress,anxiety,0,,,,
i killed a guy,i accidentally published a comment from work using the wrong account i accidentally attacked the guy i love in a panic attack,0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,I just want a baby so bad: ( is that so hard to have???,0,,,,
I'm tired of my dad treating me like a piece of shit,"I was sexually abused by my grandfather. I tell people so it no longer attacks my mind. Once a secret is out there, it can no longer hurt me.",0,,,,
my relationship makes me feel trapped,"my relationship makes me feel, relationship",1,,,,
a woman is like being in touch,i want help,0,,,,
my grief is so intense. people think it was just a bird . but he wasnt just a bird. he was MY baby bird and i would do anything to have him here right now. i cant stop the tears that keep falling.,"Feeling a little sad, morning the loss of our baby",1,,,,
I'm worried about losing my job,I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,0,,,,
im happy just want someone to talk to,My school makes me feel happy,1,,,,
porn,nudist,1,,,,
end of life planning,my life made me hollow,0,,,,
my relationship makes me feel extremly bad,i don’t want to go to college,0,,,,
"I am tired, work has been brutal lately.","I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.",0,,,,
I have no friends at all,"I am a survivor...a survivor of abuse!!   I survived abuse from the hands of my parents, in every sense of the word. How is one ever supposed to move on from that",0,,,,
"i had something traumatic happen to me for a couple of years , but i was young & i didnt want to tell anyone. i feel like its affecting all my decisions towards things i want.",I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,0,,,,
I have no problem beating up a none year old if they don't stop bullying my little girl.,I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
Work makes me feel negative,Just lost a job that would have changed my life.  They gave me no reason or explanation.  Everyone said it was a sure thing.,1,,,,
my feelings,i still get random pangs of feelings for my ex even though i’m in a happy relationship.,0,,,,
"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.",This depression is just getting worse... I feel no hope...,0,,,,
loneliness,relationship,0,,,,
cheating,relationship,1,,,,
I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,0,,,,
i can’t stop crying because it feels like everything is going wrong right now,alcoholism,0,,,,
searching for girl friend,student boys girl,1,,,,
"Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.",I wish you could choose who your parents are.,0,,,,
"I feel like there's something wrong with me, I do so much for him but doesn't show exactly the same back. Not on an emotional level but physically and maybe sexually as well.","My girlfriend just left me, her dad is abusive and he found out about us",0,,,,
My dad is racist,"My depression is mostly irritating after all these years, but still awful.",0,,,,
depression and anxiety,i feel like i have no future and i have nothing to live for. i’m really struggling.,1,,,,
idk what my struggles are tbh,idk,1,,,,
erection,stressed,0,,,,
"He's never there, he's never listening, he doesn't care…",My BPD girlfriend just discarded me. I feel so low.,0,,,,
"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.",Missed my mom. It's been a year but I'm still struggling to cope with her death,0,,,,
Feeling dejected,"Feeling dejected , lonely",1,,,,
suicidal thoughts,depression,1,,,,
"There is this guy that I liked who rejected me, and now he suddenly likes me. But won't tell me why. Do I have faith in him?","Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.",1,,,,
longer,"not going to try to kill myself again, but i feel really empty right now and i kinda want to die.",0,,,,
i feel like i'll never be loved and treated right since i'm usually referred to as different from the rest,i feel like i dont matter to anyone and everyone doesnt care about my feelings,0,,,,
lonely,"i feel inadecuate and worthless, feeling numb",0,,,,
people keep judging me for things i didn't mean to do,i won't die,1,,,,
I am scared that PTSD is going to ruin my life.,So nervous for school it's starting tomorrow,0,,,,
3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,"I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
"I am tired, work has been brutal lately.",I think I may have postpartum depression. I'm scared to ask for help because I'm afraid someone will take my baby.,0,,,,
"hello, i am depressed..i don't have friends and my boyfriend left me alone and......i am in a long distance relationship..he is too good and we were talking for a long period daily..but now a days we can't chat as he's having workload and this makes me depressed",loneliness,1,,,,
"i feel negative about the concept of marriage , what do i do?",family disapprove family problems,0,,,,
sounds,hear,1,,,,
I feel like my gf is mad at me,School makes me feel lost out of control,0,,,,
Surrounded by company but still feel alone.,I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,0,,,,
relationship worries,my ex,0,,,,
anxiety and depression,"relationship, i feel like a prisoner in my marriage",0,,,,
ex,i rejected a guy at uni who dated my ex soccer team mate and he is still stalking me since i rejected him 3 years ago. what should i do?,1,,,,
My boyfriend hurts me so much…,I have left school but the bullies have never left my mind.  They still mock me.,0,,,,
Days just get lonelier with no relief.,School makes me feel lost out of control,0,,,,
thoughts of self harm,money troubles and being in happy,0,,,,
"I just broke down in tears while working, nice, three more hours to go..",Will I be a good mom?,0,,,,
sadness,"panic attacks, eating disorders, stress stress stress stress depression, lonely depressed  lonely sad upset",1,,,,
"i’m losing touch with reality. i feel like i’m living in a fever dream, i have no perception of time, i can’t remember anything. and my parents won’t help me. i feel like i’m dying",I'm thinking I maybe die  My mom is a lair and I’m tired of het,0,,,,
Making new friends,"Relationship with my step mom I am addicted to betting. I lost lot of money. I am married I have a kid also. Due to the pressure of money lenders I am loosing more and more money. If I told at home they will kill me. Because this is 3rd time involving in betting. It's not small money now it's nearly 30 lakhs now. I recently just got out of a really crazy situation with a guy and now im just so anxious upset and overwhelmed\n Break up Break up hello i want to talk to someone girl problems Friend problems  I am so depressed and lonely. My dad has been gone almost 18 years. My mom died just this past October and April 19th will also be 1 year since my brother died. My health sucks. I’ve never had friends bc I was too shy and awkward. My mom was my best friend, now she’s gone and I’m lost. I don't feel comfortable with my friend group. I'm surrounded by people yet I feel lonely. My life makes me feel  Dissapointment on my family on my job and ruined the life of a girl whom I love so much  Dissapointment on my family on my job and ruined the life of a girl whom I love so much  guys Lonely",0,,,,
marital problems,grad admissions,0,,,,
I don't feel like she loves me as much as she says she does,I'm so depressed,0,,,,
Stressed about money,My dad is racist,0,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.","I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
i broke up with my gf cuz she cheated on me ....and... idk what to do i really need someone to take her place esp because theres no one for me to be intimate with i dont mind if its long distance either i just need someone to talk to like i did to her i really feel empty,My family thinks I'm a failure and I'm only 14...,0,,,,
Working late again trying to balance work life and social life,"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??",0,,,,
relationship issues. severe moods,i’ve been having body issues.,0,,,,
Working late again trying to balance work life and social life,I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,0,,,,
I want to get back with my ex,I want to be in a chat with Anthony,1,,,,
I scared I may be pregnant and he won't give up his old life,I am scared that PTSD is going to ruin my life.,0,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,my family really doesnt care about me I think.,0,,,,
If I'm not interested in him but am trying to get over someone should I still spend the weekend camping with his friends,I want to be more active but I'm too depressed.,0,,,,
getting back to my manhood,i’m scared of getting addicted to masturbation,1,,,,
I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,I cry literally every night just because I know when I wake up I have to go to school,0,,,,
Work makes me feel negative,I don't know if I'm ever going to fully outgrow my trauma.,0,,,,
Stressed about money,Can't find motive to study,0,,,,
"I feel like I don't matter to him, by his actions.",can I hide a pregnancy from my mom?,0,,,,
"Whenever he walks into the room, I get horny... why?",I'm just now realizing how lonely I actually am,0,,,,
"I am nervous, I don't know why. I can't live much longer. I want to die.","I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??",I'm just now realizing how lonely I actually am,0,,,,
"I am tired, work has been brutal lately.",I just want a baby so bad: ( is that so hard to have???,0,,,,
"stalking, abuse— fear",i feel that i am the target for a hate crime,0,,,,
relationship advice,relationship stress,1,,,,
scared,indian,0,,,,
I feel like my gf is mad at me,I don't feel like she loves me as much as she says she does,1,,,,
depression anxiety,depressed and having suicidal thoughts,1,,,,
I want to be more active but I'm too depressed.,Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,I have left school but the bullies have never left my mind.  They still mock me.,0,,,,
school stuff,school homework,1,,,,
Just lost a job that would have changed my life.  They gave me no reason or explanation.  Everyone said it was a sure thing.,Living without drugs is incredibly challenging.,0,,,,
struggling,existențial dread,0,,,,
alone,"i am having family issues, i'm lonely, all my friends have significant others or family members that care, i don't i have no encouragement for anything i do, i have no motivation to do anything i don't see a future worth living family life is terrible",1,,,,
Confused between two guys,"Hi how r you today  I feel so alone and like I don’t belong here  I hate myself. I get a pain in my chest whenever I think this. My grandma just passed and I’m feeling kind of numb my friends don’t really support me and I can’t get thoughts out of my head I don't know what's wrong with me but I suddenly start crying during a perfectly normal day. The things that I overthink, the past I don't know how to cope. Im scared of talking to other people",0,,,,
i suffer from anxiety and depression and i physically hurt my own skin i feel like i have no control of my mind or actions,job,0,,,,
she keeps on misunderstanding me and insults me she ignores me and talk too little,something,0,,,,
school makes me feel,lgbt,0,,,,
my dog died today,mental health,0,,,,
My BPD girlfriend just discarded me. I feel so low.,Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,0,,,,
Guilt sexuality regret,Guilt,1,,,,
grief,been trying to chat but this system is my phone is not letting me was speaking with someone called josh,0,,,,
i feel i am getting apart fron my family,I wish you could choose who your parents are.,1,,,,
i lost my brother a month ago,"my boyfriend is recently divorced from a painful 10 year marriage and doesn’t want to settle down for a long time. i knew and accepted this when we started dating. however, he’s moving on once his work contract is up and, even though he says i make him so happy, he doesn’t want me to come with him.",0,,,,
How do I get enough motivation for studying?,"My girlfriend just left me, her dad is abusive and he found out about us",0,,,,
"I feel like there's something wrong with me, I do so much for him but doesn't show exactly the same back. Not on an emotional level but physically and maybe sexually as well.",I feel really stressed about college.,0,,,,
